epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,0.3698504588762919,0.8928500000635783,52.74882459640503,1137.4661039193877,60000,0.09893266322612762,0.9713,4.87178373336792,2052.6362719075146,10000,166.0068359375,208.0
2,0.08753781830867131,0.9744000000635783,24.80570697784424,2418.798224682341,60000,0.05719066244065762,0.982,4.3999810218811035,2272.737075516918,10000,91.45654296875,202.0
3,0.06056587231953939,0.9818166667302449,24.747031927108765,2424.533179442578,60000,0.047653065139055255,0.9848,3.6622540950775146,2730.558759819843,10000,91.45654296875,202.0
