epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,1.5654545105361939,0.4304399999809265,19.688536405563354,2539.5488506637594,50000,1.334832233428955,0.5333,2.0622200965881348,4849.142929285105,10000,236.4677734375,272.0
2,1.1977556873703004,0.5701999999809265,19.011852741241455,2629.938316928866,50000,1.4502312364578247,0.5226,1.861189842224121,5372.907036742691,10000,235.7177734375,272.0
3,1.0408014713287355,0.63042,19.861507654190063,2517.432254920074,50000,1.290051003074646,0.5649,1.9168472290039062,5216.899838802762,10000,235.7177734375,272.0
4,0.9340429015541076,0.6687399999809265,19.677802562713623,2540.934123139452,50000,1.09753368434906,0.6369,1.9075288772583008,5242.384594655805,10000,235.7177734375,272.0
5,0.856623018951416,0.6985600000572204,19.066414833068848,2622.412259345152,50000,1.0233278217315673,0.6522,1.8431942462921143,5425.364157964702,10000,235.7177734375,272.0
