epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,1.5491459420013427,0.43742000002861026,42.511576414108276,1176.150221129098,50000,1.7061283782958985,0.4235,2.407594919204712,4153.522637979003,10000,1824.806640625,1852.0
2,1.18822151096344,0.5726400000190734,19.54683494567871,2557.958878711138,50000,1.1827436765670776,0.5827,1.8447308540344238,5420.844985668242,10000,235.40478515625,272.0
3,1.0290218589782716,0.6355400000381469,19.33651113510132,2585.7818740235743,50000,1.181564130592346,0.6027,2.4870574474334717,4020.815848190213,10000,235.40478515625,272.0
4,0.9279888824462891,0.6722199999809265,19.02065396308899,2628.7213939661992,50000,1.0259315948486327,0.6392,1.892928123474121,5282.8207664044,10000,235.40478515625,272.0
5,0.8564143324661255,0.6989800000572205,20.069693326950073,2491.318585962586,50000,0.9247352289199829,0.678,1.909487009048462,5237.008658667552,10000,235.40478515625,272.0
