epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,5.444883582171272,0.010784313725490196,62.14716124534607,16.412656339574696,1020,7.050675251904656,0.014705882352941176,17.361487865447998,58.75072504758968,1020,3858.712890625,3932.0
2,4.6299115367964205,0.01568627450980392,18.0601863861084,56.47782244288284,1020,5.858733546500113,0.03823529435139077,15.048158407211304,67.78238056765808,1020,1727.5380859375,2400.0
3,4.320113830940397,0.040196078475199494,17.33561635017395,58.83840409226437,1020,7.442896918689503,0.049019607930791145,14.543354272842407,70.13512707344971,1020,1726.3505859375,2400.0
4,4.08575990153294,0.05490196082814067,17.42659831047058,58.531216582133766,1020,3.827435573877073,0.1019607845474692,14.26175045967102,71.51997245249295,1020,1726.3505859375,2400.0
5,4.008872359406714,0.06274509827295939,18.819095611572266,54.20026663623411,1020,3.8842932140125948,0.08529411764705883,14.381284952163696,70.92551210777162,1020,1726.3505859375,2400.0
