epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,1.5284629620742798,0.44377999999046325,81.40392875671387,614.2209689833453,50000,1.298280886077881,0.5274,5.7196996212005615,1748.3435603740684,10000,1824.806640625,1852.0
2,1.1840315403366088,0.5758599999809265,40.083489179611206,1247.3963974531666,50000,1.3206682373046874,0.5477,3.627203941345215,2756.944512000976,10000,235.40478515625,272.0
3,1.0298958132171632,0.6359000000572205,40.64978647232056,1230.0187612066852,50000,1.1607690970420836,0.5987,3.6742334365844727,2721.656142048473,10000,235.40478515625,272.0
4,0.9265588259887695,0.66992,40.122305393218994,1246.1896072514921,50000,1.0932922695159912,0.6231,5.030731678009033,1987.7824221302155,10000,235.40478515625,272.0
5,0.8526993912887573,0.7014199999809265,41.874255895614624,1194.051068624156,50000,0.8386587915420533,0.7052,3.9357426166534424,2540.816555860807,10000,235.40478515625,272.0
