t,gpu_util_pct,power_w,gpu_mem_used_mb
0.00019693374633789062,0,27.366,595.875
0.23768186569213867,12,27.366,595.875
0.4490470886230469,3,27.465,639.875
0.6590614318847656,0,27.465,719.875
0.8642957210540771,17,35.621,639.875
1.074218511581421,37,32.694,727.875
1.2790563106536865,6,27.465,783.875
1.4842729568481445,16,27.747,803.875
1.6930654048919678,0,27.366,803.875
1.900233268737793,0,27.366,803.875
2.1040871143341064,0,27.366,803.875
2.309373378753662,0,27.366,803.875
2.518502712249756,0,27.465,803.875
2.725224018096924,0,27.366,803.875
2.932225465774536,0,27.366,803.875
3.1479554176330566,0,27.366,803.875
3.3552310466766357,0,27.366,803.875
3.565066337585449,0,27.366,803.875
3.772258996963501,0,27.465,803.875
3.977238655090332,0,27.465,803.875
4.191601037979126,0,27.366,803.875
4.396399974822998,0,27.465,803.875
4.604279518127441,0,27.351,803.875
4.813059329986572,0,27.366,803.875
5.018234729766846,0,27.465,803.875
5.2280590534210205,0,27.366,803.875
5.433570861816406,0,27.465,803.875
5.640224456787109,0,27.366,803.875
5.852237701416016,0,27.366,803.875
6.0582497119903564,0,27.366,803.875
6.263489007949829,0,27.366,803.875
6.473246812820435,0,27.366,803.875
6.678228378295898,0,27.366,803.875
6.884249687194824,0,27.366,803.875
7.093244314193726,0,27.366,803.875
7.297698974609375,0,27.351,803.875
7.503300666809082,0,27.366,803.875
7.7102367877960205,0,27.366,803.875
7.915227651596069,0,27.366,825.875
8.120218515396118,15,35.345,847.875
8.326266527175903,3,27.366,847.875
8.532224178314209,0,27.366,847.875
8.737228393554688,0,27.366,847.875
8.943231105804443,4,27.366,847.875
9.148243427276611,4,27.366,847.875
9.357076644897461,0,27.465,847.875
9.566262483596802,0,27.366,847.875
9.771208763122559,0,27.366,847.875
9.97723126411438,0,27.351,847.875
10.182235717773438,0,27.366,847.875
10.38821530342102,0,27.366,847.875
10.5964834690094,0,27.366,847.875
10.803260564804077,0,27.366,847.875
11.008212089538574,0,27.366,847.875
11.214240550994873,0,27.366,847.875
11.420251607894897,0,27.366,847.875
11.628253936767578,0,27.465,847.875
11.833226203918457,0,27.366,847.875
12.04024600982666,0,27.366,847.875
12.24521803855896,0,27.366,847.875
12.45041012763977,0,27.366,847.875
12.656272649765015,0,27.351,847.875
12.861236095428467,0,27.366,847.875
13.06723427772522,0,27.351,847.875
13.273233413696289,0,27.366,847.875
13.47923994064331,0,27.465,843.875
13.684228658676147,18,27.366,843.875
13.891276359558105,0,27.366,843.875
14.096208333969116,0,27.366,843.875
14.301223039627075,8,29.528,843.875
14.508059024810791,0,27.465,843.875
14.71440577507019,0,27.366,843.875
14.924633979797363,0,27.366,843.875
15.130296468734741,0,27.366,843.875
15.338446855545044,0,27.366,843.875
15.547052383422852,0,27.366,843.875
15.755126714706421,0,27.366,843.875
15.970255374908447,0,27.366,843.875
16.18023920059204,0,27.366,843.875
16.38805603981018,0,27.366,843.875
16.596239805221558,0,27.366,843.875
16.802052974700928,0,27.366,843.875
17.01204800605774,0,27.366,843.875
17.219210624694824,0,27.366,843.875
17.425213098526,0,27.366,843.875
17.631231784820557,0,27.366,843.875
17.836225986480713,0,31.39,841.875
18.04524040222168,10,27.366,841.875
18.252236366271973,0,27.366,841.875
18.458239555358887,5,27.564,839.875
18.664238214492798,5,27.465,839.875
18.86823320388794,0,27.366,839.875
19.07331347465515,0,27.366,839.875
19.278724431991577,0,27.366,839.875
19.485316038131714,0,27.465,839.875
19.6912362575531,0,27.366,839.875
19.897237300872803,0,27.366,839.875
20.102224826812744,0,27.366,839.875
20.30726194381714,0,27.366,839.875
20.513262033462524,4,27.465,839.875
20.721235036849976,4,32.28,839.875
20.927085161209106,0,27.366,839.875
21.13221287727356,0,27.366,839.875
21.33921504020691,0,27.366,839.875
21.54320216178894,0,27.366,831.875
21.757047176361084,17,34.158,969.875
21.98305892944336,35,34.929,1085.875
22.1930513381958,38,34.653,1099.875
22.409741640090942,44,34.732,1099.875
22.62928533554077,43,36.983,1099.875
22.84224820137024,38,32.873,1099.875
23.067883014678955,37,31.686,1099.875
23.27805209159851,33,38.563,1099.875
23.496049404144287,40,38.168,1099.875
23.705230236053467,42,34.06,1099.875
23.91705870628357,37,35.621,1099.875
24.128616094589233,35,36.786,1099.875
