epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,5.500186892116771,0.011764705882352941,9.210868120193481,110.73874760662343,1020,4.878563095541561,0.01764705882352941,6.258004903793335,162.99124332448503,1020,1732.1630859375,2194.0
2,4.844783173355402,0.027450980479810753,9.229516983032227,110.51499248283451,1020,6.357064559412938,0.012745098039215686,6.636403560638428,153.6977054936477,1020,1732.1630859375,2194.0
3,4.364201323191325,0.029411764939626057,8.753763675689697,116.52130875233338,1020,4.00499644466475,0.07647058823529412,7.440732955932617,137.08326935543863,1020,1732.1630859375,2194.0
4,4.082622154086244,0.060784313725490195,8.037508487701416,126.90499817956669,1020,3.83368992431491,0.09313725490196079,7.449578762054443,136.92049343722954,1020,1732.1630859375,2194.0
5,3.8808287405500224,0.0676470589111833,9.080111265182495,112.33342524239428,1020,4.191115285836014,0.07254901978315091,6.642364740371704,153.5597697308807,1020,1732.1630859375,2194.0
