epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,1.8796127173614503,0.2937600000095367,43.92431855201721,1138.3215869538803,50000,2.3090021770477294,0.1,2.779958963394165,3597.1754013917503,10000,551.6796875,578.0
2,1.6202298052978517,0.39978000000953673,19.199666261672974,2604.211933611143,50000,2.3085930084228514,0.0999,1.8128976821899414,5516.03110216359,10000,87.86376953125,110.0
3,1.4988996112442017,0.4513600000190735,19.897542238235474,2512.8731680196715,50000,1.877054366493225,0.3823,1.8904364109039307,5289.783852194427,10000,87.86376953125,110.0
4,1.4247698534393312,0.47840000005722044,18.981334686279297,2634.166713057466,50000,1.4374809732437135,0.4793,2.4676012992858887,4052.51853404922,10000,87.86376953125,110.0
5,1.3728851459121705,0.49984000000953677,18.834123611450195,2654.7558586481045,50000,1.4961985073089599,0.4752,1.7444283962249756,5732.536813571979,10000,87.86376953125,110.0
