epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,1.5446746964263915,0.4368600000190735,19.90700364112854,2511.678849382351,50000,1.9733806663513183,0.3723,1.8977317810058594,5269.4485596376935,10000,236.4677734375,272.0
2,1.1834022728729248,0.5755200000572205,19.637664556503296,2546.1276139092506,50000,1.2262052737236022,0.576,2.1263108253479004,4702.981276673805,10000,235.7177734375,272.0
3,1.0241130239868164,0.635940000038147,18.988934755325317,2633.1124228007493,50000,1.6378033229827882,0.4896,1.8592109680175781,5378.625756851416,10000,235.7177734375,272.0
4,0.9186032623672485,0.67694,19.91568875312805,2510.5835213530722,50000,0.8772646095275879,0.6984,1.8989238739013672,5266.140542777448,10000,235.7177734375,272.0
5,0.8473383635330201,0.7017999999809265,19.807812213897705,2524.256564029753,50000,0.9729869558334351,0.6672,1.874558687210083,5334.588918569981,10000,235.7177734375,272.0
