experiment_id,dataset,model,condition,mps_group,seed,pid,run_dir,artifacts_dir,batch_size,epochs,lr,amp,num_workers,train_size,val_size,train_samples_total,total_time_s,final_train_loss,final_train_acc,final_val_loss,final_val_acc,final_train_throughput_sps,final_val_throughput_sps,final_gpu_max_mem_alloc_mb,final_gpu_max_mem_reserved_mb,gpu_util_pct_mean,gpu_util_pct_p95,gpu_util_pct_max,power_w_mean,power_w_p95,power_w_max,energy_j_approx,energy_j_per_sample,samples_per_j,gpu_mem_used_mb_mean,gpu_mem_used_mb_p95,gpu_mem_used_mb_max,gpu_name,gpu_total_mem_mb,gpu_sm_count,torch_version,cuda_version,cudnn_version,nv_driver_version
E2,cifar10,mobilenet_v3_small,sequential,,301,5269,E2_cifar10_mobilenet_v3_small_sequential_20260109_014428_015126_pid5269,runs/E2_cifar10_mobilenet_v3_small_sequential_20260109_014428_015126_pid5269,256,5,0.001,True,2,50000,10000,250000,106.55877089500429,1.3794172082901002,0.500700000038147,1.3367139783859252,0.5233,2493.265046203855,5208.597014450885,87.86376953125,110.0,20.40748031496063,30.0,45.0,34.82537795275591,37.378,39.156,3704.745949074864,0.0148189837962994,67.48101042189657,523.4419291338583,523.875,523.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E2,cifar10,mobilenet_v3_small,sequential,,302,5269,E2_cifar10_mobilenet_v3_small_sequential_20260109_014617_887090_pid5269,runs/E2_cifar10_mobilenet_v3_small_sequential_20260109_014617_887090_pid5269,256,5,0.001,True,2,50000,10000,250000,108.78630781173706,1.3708664283370973,0.5003800000095368,1.446504123687744,0.4937,2609.1765440956824,4599.165806441567,87.86376953125,110.0,20.040462427745663,30.0,40.0,35.13502119460501,38.06679999999999,39.725,3817.468341749072,0.0152698733669962,65.48842783211032,523.5513005780347,523.875,523.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E1,mnist,simplecnn,mps,MPS_E1_x2,1000,21444,E1_mnist_simplecnn_mps_20260113_014337_995747_pid21444,runs/E1_mnist_simplecnn_mps_20260113_014337_995747_pid21444,256,3,0.001,True,2,60000,10000,180000,74.22753190994263,0.0591443058699369,0.9821166666984558,0.0483115817463025,0.9837,3714.527570810984,4173.720047469888,91.45654296875,202.0,11.07122507122507,21.0,24.0,28.921752136752136,33.704,38.168,2141.133459584117,0.0118951858865784,84.06762277908743,783.6527777777778,955.875,955.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E1,mnist,simplecnn,mps,MPS_E1_x2,1001,21445,E1_mnist_simplecnn_mps_20260113_014338_352968_pid21445,runs/E1_mnist_simplecnn_mps_20260113_014338_352968_pid21445,256,3,0.001,True,2,60000,10000,180000,73.70590901374817,0.0585206060290336,0.9821833333969116,0.0491092815205454,0.9835,3879.2009665668834,4058.047742557689,91.45654296875,202.0,11.05730659025788,21.0,24.0,28.866893982808023,33.842,38.168,2126.1322983111145,0.0118118461017284,84.66077117730742,786.4480659025788,955.875,955.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E1,mnist,simplecnn,mps,MPS_E1_x3,2000,21968,E1_mnist_simplecnn_mps_20260113_014506_855723_pid21968,runs/E1_mnist_simplecnn_mps_20260113_014506_855723_pid21968,256,3,0.001,True,2,60000,10000,180000,115.69271731376648,0.0575939264873663,0.982316666698456,0.0471404763646423,0.9841,2404.227350242534,2572.661375571155,91.45654296875,202.0,10.714285714285714,21.0,32.0,29.29016697588126,35.0399,38.738,3390.4075293593405,0.0188355973853296,53.09096279467419,1035.9900278293137,1299.875,1299.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E1,mnist,simplecnn,mps,MPS_E1_x3,2002,21970,E1_mnist_simplecnn_mps_20260113_014508_229797_pid21970,runs/E1_mnist_simplecnn_mps_20260113_014508_229797_pid21970,256,3,0.001,True,2,60000,10000,180000,115.24907779693604,0.0605658723195393,0.9818166667302448,0.0476530651390552,0.9848,2424.533179442578,2730.558759819843,91.45654296875,202.0,10.757914338919926,21.0,32.0,29.28062197392924,34.3408,38.738,3372.3873235999345,0.0187354851311107,53.37465205741989,1044.9103817504656,1299.875,1299.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E1,mnist,simplecnn,mps,MPS_E1_x3,2001,21969,E1_mnist_simplecnn_mps_20260113_014506_628668_pid21969,runs/E1_mnist_simplecnn_mps_20260113_014506_628668_pid21969,256,3,0.001,True,2,60000,10000,180000,118.45705056190492,0.0585682783563931,0.9828500000317892,0.0471419220738112,0.9839,2394.960281600421,3470.995701374991,91.45654296875,202.0,10.548913043478262,21.0,32.0,29.35210326086957,34.356,38.684,3473.4210455098155,0.0192967835861656,51.82210784168848,1042.5778985507247,1299.875,1299.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E3,cifar10,resnet18,mps,MPS_E3_x2,3000,22737,E3_cifar10_resnet18_mps_20260113_014717_770382_pid22737,runs/E3_cifar10_resnet18_mps_20260113_014717_770382_pid22737,128,5,0.001,True,2,50000,10000,250000,266.13346123695374,0.8526993912887573,0.7014199999809265,0.8386587915420533,0.7052,1194.051068624156,2540.816555860807,235.40478515625,272.0,26.743775100401606,42.0,83.0,33.10623212851406,39.1514,85.159,8812.279306299446,0.0352491172251977,28.36950479103492,1075.4187751004015,1103.875,2671.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E3,cifar10,resnet18,mps,MPS_E3_x2,3001,22738,E3_cifar10_resnet18_mps_20260113_014717_828031_pid22738,runs/E3_cifar10_resnet18_mps_20260113_014717_828031_pid22738,128,5,0.001,True,2,50000,10000,250000,267.0697660446167,0.8651286822128296,0.696180000038147,1.0529522359848025,0.6379,1203.8807316556856,2885.953512131135,235.40478515625,272.0,26.687750200160128,42.0,83.0,33.16658366693354,39.1026,85.159,8861.165352232932,0.0354446614089317,28.21299344526985,1074.3778022417937,1103.875,2671.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E2,cifar10,mobilenet_v3_small,mps,MPS_E2_x2,4001,24137,E2_cifar10_mobilenet_v3_small_mps_20260113_015158_882607_pid24137,runs/E2_cifar10_mobilenet_v3_small_mps_20260113_015158_882607_pid24137,256,5,0.001,True,2,50000,10000,250000,276.4203877449036,1.3747361780548095,0.50408,1.4481417901992797,0.5001,1180.7066230340956,2636.7209514792385,87.86376953125,110.0,19.758513931888544,34.0,98.0,29.49928637770898,32.001,39.922,8153.809196623564,0.0326152367864942,30.66051632696081,764.5715944272446,779.875,1025.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E2,cifar10,mobilenet_v3_small,mps,MPS_E2_x2,4000,24136,E2_cifar10_mobilenet_v3_small_mps_20260113_015158_923783_pid24136,runs/E2_cifar10_mobilenet_v3_small_mps_20260113_015158_923783_pid24136,256,5,0.001,True,2,50000,10000,250000,277.7593035697937,1.3655880047225952,0.50552,1.2834388149261475,0.5412,1153.801801230809,3170.050290102065,87.86376953125,110.0,19.677717810331533,34.0,98.0,29.481656900539708,31.983,40.317,8184.506971160293,0.0327380278846411,30.5455173880264,764.9914225134927,779.875,1025.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E1,mnist,simplecnn,mps,MPS_E1_E3,5000,25546,E1_mnist_simplecnn_mps_20260113_015651_281541_pid25546,runs/E1_mnist_simplecnn_mps_20260113_015651_281541_pid25546,256,3,0.001,True,2,60000,10000,180000,78.49301242828369,0.0598636852661768,0.9814833333969116,0.0502144045894965,0.9844,4639.997061769439,4987.1507538268015,67.80029296875,146.0,13.63978494623656,29.0,37.0,30.214849462365592,35.147,38.509,2372.2434058618546,0.0131791300325658,75.8775425638098,857.9825268817204,927.875,1033.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E3,cifar10,resnet18,mps,MPS_E1_E3,5001,25547,E3_cifar10_resnet18_mps_20260113_015651_281541_pid25547,runs/E3_cifar10_resnet18_mps_20260113_015651_281541_pid25547,128,5,0.001,True,2,50000,10000,250000,177.75091099739075,0.858882988910675,0.69844,1.0341629163742063,0.6517,2529.602588311169,3498.0147244570653,235.40478515625,272.0,21.68514150943396,38.64999999999998,94.0,32.03799528301887,37.94405,79.643,5692.518737474918,0.0227700749498996,43.9172906633057,927.634433962264,973.875,2557.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E6,flowers102,resnet50,mps,MPS_E6_x2,6000,26494,E6_flowers102_resnet50_mps_20260113_020000_179715_pid26494,runs/E6_flowers102_resnet50_mps_20260113_020000_179715_pid26494,32,5,0.001,True,2,1020,1020,5100,209.41013765335083,4.008872359406714,0.0627450982729593,3.8842932140125943,0.0852941176470588,54.20026663623411,70.92551210777162,1726.3505859375,2400.0,34.99079754601227,98.0,100.0,49.04311145194274,82.26865,100.891,10308.541333900808,2.0212826144903544,0.4947353689341159,4521.807515337423,5483.875,6587.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E6,flowers102,resnet50,mps,MPS_E6_x2,6001,26495,E6_flowers102_resnet50_mps_20260113_020000_198272_pid26495,runs/E6_flowers102_resnet50_mps_20260113_020000_198272_pid26495,32,5,0.001,True,2,1020,1020,5100,209.69475555419922,3.9711105103586233,0.052941176558242126,5.58479481865378,0.10392156862745099,54.89580749781052,71.41147063636711,1728.5380859375,2524.0,34.78797145769623,98.0,100.0,48.983954128440374,82.476,103.809,10303.744114905954,2.020341983314893,0.4949657079140838,4524.83116717635,5483.875,6587.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
