epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,1.8716286974334717,0.28994,20.196608781814575,2475.6631442512758,50000,2.304907585144043,0.1,1.8259966373443604,5476.4613447172105,10000,87.86376953125,110.0
2,1.6005503160858154,0.40851999999046323,19.25105094909668,2597.260800577028,50000,2.299708444595337,0.1145,1.7954528331756592,5569.62556477341,10000,87.86376953125,110.0
3,1.5049641228485107,0.44575999999046323,20.311520099639893,2461.6572149558842,50000,1.82005655708313,0.3817,1.9136602878570557,5225.587876518117,10000,87.86376953125,110.0
4,1.4290630746078492,0.47784,20.220325469970703,2472.7594060864762,50000,1.3666049505233764,0.4986,1.9162051677703857,5218.6478609884825,10000,87.86376953125,110.0
5,1.3708664283370973,0.5003800000095368,19.16313409805298,2609.1765440956824,50000,1.446504123687744,0.4937,2.174307346343994,4599.165806441567,10000,87.86376953125,110.0
