epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,0.37336281434297564,0.8929500000317891,33.866318702697754,1771.6717463956443,60000,0.0968238167874515,0.97,2.581061363220215,3874.375147564752,10000,166.0068359375,208.0
2,0.08272352377772331,0.9751666666984559,16.78059148788452,3575.5593027408845,60000,0.05919700176678598,0.9811,2.540473222732544,3936.2745139442786,10000,91.45654296875,202.0
3,0.05852060602903366,0.9821833333969117,15.467102766036987,3879.2009665668834,60000,0.04910928152054548,0.9835,2.4642391204833984,4058.047742557689,10000,91.45654296875,202.0
