epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,0.34273669299284615,0.9050166666984558,33.77264356613159,1776.5858299635784,60000,0.09254967767745256,0.9713,2.4059505462646484,4156.361407978843,10000,166.0068359375,208.0
2,0.08495572889943917,0.9747166666666667,16.643763542175293,3604.9538824533292,60000,0.05168708257842809,0.9833,2.849846124649048,3508.961383390999,10000,91.45654296875,202.0
3,0.05914430586993694,0.9821166666984558,16.152794361114502,3714.5275708109834,60000,0.04831158174630255,0.9837,2.395944118499756,4173.720047469888,10000,91.45654296875,202.0
