epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,1.8942771009063721,0.29613999999046325,19.289653539657593,2592.0631439649765,50000,2.3052789684295654,0.1,1.732114553451538,5773.290213440716,10000,87.86376953125,110.0
2,1.6073927264404297,0.4041200000190735,19.72890067100525,2534.353070847122,50000,2.3001485553741454,0.12,1.7780213356018066,5624.229473385538,10000,87.86376953125,110.0
3,1.502449664955139,0.45188000001907347,18.736589431762695,2668.5753126040568,50000,1.9140358287811279,0.3701,1.788874864578247,5590.105936424818,10000,87.86376953125,110.0
4,1.427363733444214,0.48606,19.66693425178528,2542.3382902427315,50000,1.3876622230529785,0.4973,1.8462870121002197,5416.275982261626,10000,87.86376953125,110.0
5,1.3794172082901002,0.500700000038147,20.054025173187256,2493.265046203855,50000,1.3367139783859252,0.5233,1.9199028015136719,5208.597014450885,10000,87.86376953125,110.0
