epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,0.3864301344513893,0.8909666666666667,20.417412042617798,2938.6682246878513,60000,0.10218574666976929,0.9707,1.368398666381836,7307.811857520193,10000,166.0068359375,208.0
2,0.08508953634103139,0.9754333333333334,8.157450437545776,7355.239294356215,60000,0.05715766951814294,0.9831,1.5634510517120361,6396.106861835959,10000,91.45654296875,202.0
3,0.05848797361850738,0.9825666666984558,7.585677862167358,7909.642498693844,60000,0.04853242951184511,0.9841,1.2138960361480713,8237.937765850154,10000,91.45654296875,202.0
