epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,1.9192754681396484,0.27364000001907346,86.3690869808197,578.9108319635668,50000,2.308905537414551,0.1,4.232538223266602,2362.6484800607823,10000,551.6796875,578.0
2,1.6031212299346924,0.40999999999046327,42.27283477783203,1182.7926909273685,50000,2.3074525066375733,0.1,4.637307405471802,2156.4237876920724,10000,87.86376953125,110.0
3,1.4867116540908814,0.4574200000190735,42.592812061309814,1173.9069946362777,50000,1.7660400075912475,0.3946,3.928555488586426,2545.46487355285,10000,87.86376953125,110.0
4,1.4262869853973388,0.47966000002861026,42.63542175292969,1172.7337960850418,50000,1.3449566526412964,0.513,4.555755138397217,2195.0257852352775,10000,87.86376953125,110.0
5,1.3655880047225952,0.50552,43.334999084472656,1153.8018012308087,50000,1.2834388149261475,0.5412,3.154524087905884,3170.0502901020654,10000,87.86376953125,110.0
