epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,1.8919170483779908,0.28468000000953675,86.36562871932983,578.9340127713249,50000,2.3090439029693606,0.1,4.389857769012451,2277.978131908728,10000,551.6796875,578.0
2,1.6108401313018799,0.4029400000190735,42.19912242889404,1184.858762981399,50000,2.3250914234161377,0.1,4.5494911670684814,2198.0480086179878,10000,87.86376953125,110.0
3,1.499975116004944,0.44999999999046325,42.635051012039185,1172.743993806437,50000,1.861342053604126,0.3551,3.5707404613494873,2800.53958226376,10000,87.86376953125,110.0
4,1.437098729171753,0.47648000002861024,42.18549990653992,1185.2413770317469,50000,1.3999823356628418,0.4901,4.347315549850464,2300.270105845888,10000,87.86376953125,110.0
5,1.3747361780548095,0.50408,42.347522258758545,1180.7066230340956,50000,1.4481417901992797,0.5001,3.7925894260406494,2636.7209514792385,10000,87.86376953125,110.0
