epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,1.5398253844451903,0.43888,38.88106393814087,1285.9730402323655,50000,1.7292918510437012,0.4394,2.193232774734497,4559.479556934195,10000,1824.806640625,1852.0
2,1.1816202319335938,0.5761999999809265,17.67581033706665,2828.7246268505523,50000,1.145462583065033,0.6029,1.5901157855987549,6288.850214913451,10000,235.40478515625,272.0
3,1.023723972606659,0.6379800000572204,16.918861865997314,2955.2815311109966,50000,1.0054786437988281,0.6445,1.615548849105835,6189.84687806546,10000,235.40478515625,272.0
4,0.9300447974967957,0.669100000038147,17.871960401535034,2797.678535350015,50000,0.950061767578125,0.6708,1.6198451519012451,6173.429594960233,10000,235.40478515625,272.0
5,0.8507202967071533,0.7005200000190734,16.874897718429565,2962.9809219758145,50000,0.9932292018890381,0.6647,1.59743070602417,6260.052446900126,10000,235.40478515625,272.0
