epoch,train_loss,train_acc,train_time_s,train_throughput_samples_s,train_samples_epoch,val_loss,val_acc,val_time_s,val_throughput_samples_s,val_samples_epoch,gpu_max_mem_alloc_mb,gpu_max_mem_reserved_mb
1,5.42080317291559,0.004901960784313725,33.027464389801025,30.88338807852833,1020,4.802231465133966,0.004901960784313725,9.212396621704102,110.72037406606157,1020,3859.623046875,3924.0
2,4.824177177279603,0.016666666666666666,9.256210803985596,110.19628027062674,1020,8.16441104926315,0.022549019607843137,6.470770359039307,157.63192686557275,1020,1729.35009765625,2364.0
3,4.383959484100342,0.034313725534023024,9.385043621063232,108.68356516860219,1020,5.738388954424391,0.06960784322490879,6.272054672241211,162.62613342869994,1020,1729.35009765625,2364.0
4,4.081286864187203,0.05392156862745098,9.28135347366333,109.8977646842501,1020,4.757687397564159,0.08627450992079343,7.401157379150391,137.8162830145209,1020,1729.35009765625,2364.0
5,3.910511089773739,0.07450980392156863,8.2019681930542,124.36039447992282,1020,5.265196744133444,0.1264705882352941,7.527888774871826,135.49615709052065,1020,1729.35009765625,2364.0
